Protein_ID,Drug_ID,Binding_Affinity,Interaction_Score,Hydrophobicity_Index,Molecular_Weight,Toxicity_Potential,LogP,pH_Stability,Target_Specificity,ADR_Predicted,Charge_At_pH7,Half_Life_Hours,Bioavailability,Solubility,Metabolism_Rate,Plasma_Protein_Binding
P02050,D0414,0.774,0.552,-0.894,565.2,0.827,-0.85,6.02,0.029,1,-0.32,38.2,0.711,-6.96,1.21,0.092
P02969,D0056,0.807,0.501,-0.659,444.59,0.774,3.45,4.88,0.449,1,-0.28,17.1,0.139,-3.81,0.41,0.317
P05372,D0926,0.306,0.476,-0.555,882.47,0.732,1.96,7.83,0.526,0,1.71,54.3,0.107,-6.47,4.49,0.217
P05310,D0536,0.5,0.592,0.907,172.74,0.869,4.83,8.43,0.636,0,1.46,33.4,0.179,-6.97,3.44,0.061
P06798,D0906,0.415,0.503,-0.427,635.12,0.019,-1.92,4.89,0.489,0,0.27,39.9,0.036,-2.06,4.53,0.902
P04866,D0507,0.25,0.418,0.864,505.88,0.018,4.64,4.14,0.65,0,1.93,22.2,0.93,-4.92,3.85,0.163
P07220,D0338,0.515,0.417,-0.046,790.64,0.977,1.4,7.51,0.151,1,1.87,15.0,0.119,-4.84,2.87,0.295
P09928,D0402,0.875,0.586,0.436,733.39,0.192,-1.59,5.4,0.263,0,0.42,40.9,0.791,-4.04,1.96,0.381
P03829,D0595,0.071,0.107,-0.444,267.38,0.887,3.53,6.64,0.304,0,-0.71,2.3,0.736,-1.75,2.73,0.011
P09736,D0757,0.911,0.294,0.406,428.15,0.795,6.05,8.53,0.06,1,-1.37,32.4,0.678,-4.32,2.26,0.097
P03900,D0614,0.055,0.642,0.741,679.68,0.52,0.26,6.7,0.513,0,-0.26,17.0,0.931,-7.73,2.77,0.481
P07000,D0608,0.446,0.607,0.154,459.99,0.043,4.67,4.09,0.395,0,1.11,42.9,0.975,-1.99,4.39,0.256
P01505,D0249,0.027,0.426,0.826,664.15,0.206,-1.5,7.55,0.368,0,-0.57,67.8,0.059,0.44,1.73,0.468
P02524,D0266,0.723,0.615,-0.222,799.7,0.066,6.91,8.84,0.075,0,-0.84,65.8,0.895,-3.19,1.2,0.682
P08078,D0407,0.113,0.499,0.24,692.36,0.778,4.04,8.51,0.14,0,0.73,36.3,0.004,0.44,0.19,0.574
P00593,D0825,0.835,0.437,-0.443,555.38,0.503,2.54,8.92,0.061,1,0.42,37.2,0.698,-4.52,1.86,0.743
P03174,D0745,0.898,0.527,-0.703,745.02,0.986,1.72,4.46,0.736,1,0.57,5.1,0.413,-6.43,0.48,0.983
P00486,D0618,0.403,0.419,-0.676,807.92,0.537,3.54,8.74,0.712,0,-1.79,21.9,0.04,-9.48,3.81,0.389
P04857,D0395,0.986,0.43,-0.112,452.53,0.113,4.87,8.47,0.061,0,-0.21,37.8,0.497,-0.65,0.35,0.754
P09731,D0858,0.397,0.388,0.875,792.52,0.1,-1.77,5.14,0.161,0,1.24,38.8,0.39,-7.89,3.37,0.19
P07081,D0665,0.457,0.543,-0.406,752.92,0.524,3.62,4.44,0.54,0,1.94,31.8,0.292,-5.95,4.01,0.019
P00503,D0203,0.419,0.509,-0.813,457.93,0.584,6.19,8.7,0.617,0,-1.52,42.0,0.231,-1.84,0.76,0.923
P00110,D0131,0.545,0.454,-0.107,193.56,0.155,-0.26,5.26,0.372,0,0.89,62.7,0.739,-3.76,3.82,0.432
P02406,D0447,0.92,0.511,-0.715,825.57,0.153,4.73,7.13,0.456,0,-0.65,51.2,0.243,-3.81,3.73,0.516
P08467,D0875,0.108,0.397,-0.58,324.43,0.915,-1.94,5.53,0.984,0,-0.4,23.4,0.352,-7.91,1.51,0.037
P09928,D0142,0.394,0.437,0.823,807.44,0.845,6.0,6.21,0.351,0,0.31,42.1,0.772,-0.02,1.69,0.455
P01717,D0371,0.357,0.487,0.285,678.42,0.01,-2.62,7.04,0.275,0,-1.41,20.8,0.534,-9.21,4.9,0.12
P00850,D0758,0.1,0.669,0.041,892.45,0.747,-2.91,4.72,0.607,0,-1.52,1.2,0.861,-7.17,1.4,0.975
P08108,D0851,0.776,0.419,-0.551,305.63,0.527,0.77,5.29,0.386,0,-1.27,71.0,0.802,-8.59,3.13,0.337
P04999,D0067,0.139,0.479,-0.813,366.82,0.645,2.3,5.13,0.41,0,-1.52,6.5,0.065,-9.96,1.76,0.707
P02101,D0777,0.047,0.558,0.885,219.4,0.04,1.54,8.54,0.884,0,-1.91,24.7,0.606,-8.11,4.19,0.935
P00916,D0837,0.974,0.551,0.071,891.8,0.437,-1.17,4.46,0.707,0,1.71,69.3,0.197,-6.2,1.2,0.8
P09097,D0738,0.697,0.446,-0.74,614.71,0.473,5.02,8.97,0.438,0,1.74,56.3,0.159,-8.57,1.72,0.783
P03008,D0774,0.73,0.386,-0.076,351.71,0.128,4.04,6.87,0.407,0,-1.64,38.2,0.465,-6.36,2.48,0.765
P08317,D0509,0.575,0.54,0.229,512.86,0.929,5.77,7.58,0.393,0,1.93,6.7,0.75,-1.32,2.32,0.529
P07464,D0713,0.171,0.676,0.375,878.37,0.012,-2.79,7.63,0.985,0,-0.13,69.1,0.897,-7.83,4.28,0.341
P04838,D0307,0.534,0.566,-0.818,410.57,0.094,0.44,8.58,0.568,0,-1.81,4.4,0.833,-9.66,2.54,0.902
P08899,D0295,0.777,0.198,0.412,756.26,0.569,-1.02,4.87,0.803,0,1.54,66.8,0.982,-0.46,2.67,0.206
P05531,D0810,0.708,0.594,0.552,247.85,0.004,3.37,8.85,0.288,0,0.72,2.0,0.13,-6.92,3.72,0.366
P06900,D0223,0.642,0.603,-0.265,695.31,0.994,6.75,5.79,0.712,1,1.8,41.9,0.34,-8.82,3.27,0.719
P05791,D0075,0.082,0.382,0.339,436.43,0.03,-0.03,6.15,0.7,0,1.56,22.5,0.166,-5.3,3.88,0.506
P06254,D0317,0.648,0.674,-0.803,295.4,0.631,5.55,5.12,0.99,0,0.01,32.4,0.409,-6.92,1.17,0.556
P03896,D0929,0.067,0.447,0.988,810.54,0.362,5.67,5.6,0.311,0,-1.04,68.6,0.619,-3.89,2.65,0.515
P03648,D0371,0.918,0.616,-0.856,562.42,0.113,-0.13,4.62,0.518,0,-0.18,42.2,0.941,0.28,2.79,0.004
P01927,D0553,0.854,0.621,-0.594,431.57,0.863,-2.22,6.96,0.5,1,-1.83,68.2,0.017,-8.09,4.81,0.156
P09004,D0457,0.023,0.54,0.518,453.18,0.546,5.66,8.86,0.878,0,0.22,13.4,0.881,0.26,1.08,0.913
P07294,D0157,0.214,0.711,0.92,204.71,0.671,5.01,8.49,0.265,0,-0.94,15.8,0.861,-1.2,4.25,0.753
P06605,D0096,0.569,0.559,-0.49,519.6,0.786,3.22,6.38,0.384,0,1.29,41.7,0.535,-2.98,4.46,0.371
P09389,D0454,0.045,0.544,-0.803,694.04,0.552,0.83,6.17,0.949,0,-1.8,4.1,0.305,-4.31,2.8,0.183
P01638,D0026,0.91,0.343,-0.717,767.31,0.252,-0.83,6.78,0.114,0,0.68,8.1,0.287,-3.92,2.72,0.586
P01327,D0106,0.899,0.374,0.366,773.67,0.312,0.29,6.94,0.194,0,1.01,69.8,0.852,-6.69,0.17,0.344
P09713,D0041,0.169,0.835,0.02,782.81,0.826,-1.94,7.64,0.44,0,1.48,8.2,0.424,-3.74,2.13,0.168
P06301,D0836,0.921,0.238,0.766,786.06,0.786,5.26,4.15,0.438,1,-0.07,54.8,0.677,-4.61,0.82,0.515
P09991,D0870,0.703,0.507,-0.798,501.69,0.014,-1.62,4.95,0.529,0,-0.63,50.4,0.982,-5.04,3.61,0.018
P00865,D0540,0.462,0.443,0.003,474.81,0.579,-1.64,4.22,0.41,0,0.35,54.4,0.683,-9.3,0.63,0.435
P00804,D0103,0.459,0.593,0.225,233.23,0.753,5.88,7.71,0.534,0,-1.04,41.4,0.328,-3.21,1.48,0.007
P06914,D0512,0.315,0.578,0.725,368.65,0.101,3.89,6.08,0.804,0,0.24,39.9,0.875,-8.27,2.11,0.683
P06909,D0270,0.586,0.417,0.107,319.12,0.613,-0.44,4.07,0.452,0,1.51,41.9,0.899,-4.89,1.15,0.667
P06019,D0223,0.602,0.511,-0.635,607.83,0.466,-0.27,8.25,0.06,0,1.63,3.0,0.763,-6.81,3.08,0.55
P06044,D0639,0.17,0.245,0.778,392.84,0.218,5.67,5.06,0.98,0,0.05,53.4,0.956,-0.11,0.58,0.406
P07958,D0469,0.484,0.73,0.732,549.67,0.638,2.87,4.86,0.945,0,0.1,27.1,0.817,-2.64,0.52,0.068
P03922,D0860,0.11,0.456,0.746,433.35,0.3,1.17,5.28,0.266,0,-1.68,54.3,0.234,-6.97,4.63,0.76
P03681,D0644,0.773,0.665,0.174,817.61,0.2,5.98,6.72,0.143,0,-0.85,66.3,0.88,0.17,4.21,0.241
P08997,D0951,0.795,0.369,0.927,468.58,0.449,-0.94,6.56,0.318,0,0.7,14.1,0.282,-3.82,1.06,0.436
P06419,D0728,0.856,0.593,0.111,778.56,0.602,2.44,7.07,0.72,0,1.75,19.8,0.962,-5.34,1.57,0.139
P07204,D0386,0.045,0.468,-0.703,180.9,0.432,6.3,8.08,0.901,0,-0.41,30.6,0.575,-8.0,3.01,0.595
P05739,D0209,0.666,0.567,-0.201,174.6,0.91,1.79,4.71,0.033,1,0.11,53.9,0.767,-6.41,4.61,0.634
P08745,D0983,0.876,0.41,0.65,697.89,0.9,-0.06,6.6,0.945,0,1.47,23.7,0.848,-9.54,4.1,0.594
P09432,D0767,0.335,0.427,0.957,682.25,0.369,6.94,8.65,0.031,0,-1.31,39.6,0.948,-5.18,0.82,0.074
P07585,D0540,0.792,0.55,0.662,167.55,0.211,2.25,4.74,0.91,0,1.65,46.0,0.018,-7.77,2.35,0.954
P07170,D0619,0.006,0.306,-0.274,515.8,0.9,1.11,7.88,0.549,0,0.01,22.4,0.202,-6.63,4.52,0.522
P02177,D0906,0.665,0.774,-0.98,187.12,0.417,0.31,8.47,0.174,0,-1.07,1.5,0.19,-0.49,4.28,0.509
P03051,D0245,0.241,0.466,-0.644,275.0,0.311,0.21,4.24,0.835,0,1.04,28.1,0.155,-6.28,3.86,0.621
P01301,D0085,0.078,0.513,-0.926,872.1,0.958,-1.4,5.77,0.69,0,-1.86,11.9,0.916,-1.09,4.35,0.595
P03917,D0934,0.5,0.72,0.644,405.12,0.493,4.8,4.26,0.967,0,-1.99,59.6,0.408,-0.43,4.44,0.25
P07309,D0656,0.367,0.709,-0.387,502.01,0.874,0.98,8.58,0.331,0,-0.46,55.3,0.28,-5.34,1.15,0.445
P08278,D0011,0.597,0.57,0.39,661.98,0.009,2.68,5.68,0.161,0,1.45,54.5,0.025,0.68,2.76,0.339
P08631,D0970,0.856,0.479,-0.183,840.25,0.055,3.75,4.41,0.983,0,-1.12,49.5,0.456,-5.5,0.61,0.636
P04291,D0597,0.392,0.372,-0.454,261.62,0.479,2.23,4.43,0.863,0,-1.01,12.1,0.633,-1.04,4.6,0.177
P09146,D0919,0.927,0.863,0.049,320.14,0.652,0.07,7.41,0.767,1,0.81,54.3,0.657,0.48,3.5,0.038
P06639,D0705,0.268,0.605,-0.022,569.72,0.479,4.77,8.97,0.432,0,-0.72,45.7,0.423,-9.9,0.18,0.638
P04898,D0720,0.778,0.188,0.646,645.69,0.474,2.32,6.99,0.616,0,0.83,64.9,0.87,-6.09,0.21,0.606
P03187,D0629,0.641,0.589,0.392,476.33,0.33,-1.57,4.02,0.266,0,-0.3,28.9,0.689,-1.54,0.15,0.845
P03110,D0924,0.515,0.427,-0.379,639.94,0.456,-0.57,5.48,0.041,0,0.04,59.6,0.035,-0.87,4.06,0.12
P08508,D0283,0.449,0.239,0.612,158.57,0.834,-0.91,4.46,0.39,0,-0.23,29.3,0.429,-0.62,0.72,0.677
P02327,D0700,0.914,0.493,0.196,298.21,0.761,1.76,5.28,0.891,0,0.75,2.5,0.74,-1.63,0.93,0.116
P04022,D0543,0.648,0.388,-0.321,777.76,0.229,-2.12,7.71,0.5,0,-0.0,60.9,0.984,-6.4,2.17,0.108
P09475,D0659,0.361,0.558,0.621,716.93,0.719,3.29,6.0,0.001,0,1.2,45.9,0.044,-1.17,4.65,0.027
P08966,D0619,0.552,0.346,-0.26,626.79,0.684,5.67,5.23,0.092,0,0.33,23.2,0.206,-3.78,4.07,0.026
P00220,D0356,0.551,0.467,-0.894,561.56,0.134,3.76,5.95,0.751,0,1.29,47.5,0.077,-7.84,4.27,0.028
P06516,D0664,0.877,0.778,0.758,300.13,0.864,-0.35,5.82,0.724,1,0.36,27.1,0.344,-7.8,3.82,0.866
P00841,D0269,0.042,0.494,-0.111,353.82,0.06,1.72,5.14,0.472,0,0.08,15.3,0.909,-7.56,0.48,0.693
P01302,D0385,0.441,0.628,-0.355,873.17,0.005,-0.31,4.57,0.955,0,-0.6,65.4,0.511,-8.17,2.91,0.2
P03601,D0059,0.51,0.492,0.827,151.39,0.805,0.38,8.06,0.627,0,0.41,14.9,0.93,-6.69,0.5,0.639
P03206,D0908,0.152,0.352,-0.496,480.88,0.648,4.36,7.32,0.487,0,0.43,22.0,0.185,-1.9,0.82,0.376
P01595,D0595,0.001,0.092,0.94,157.71,0.19,2.78,5.35,0.973,0,-1.52,47.4,0.873,0.21,2.66,0.852
P05607,D0650,0.002,0.584,-0.943,406.77,0.724,-1.08,4.33,0.075,0,-1.52,52.5,0.104,-7.32,1.39,0.172
P01433,D0490,0.984,0.494,0.339,393.78,0.879,4.38,7.55,0.549,1,-1.46,31.7,0.595,-3.57,2.65,0.944
P05011,D0900,0.076,0.629,-0.881,236.88,0.176,6.86,5.05,0.839,0,-0.42,18.1,0.318,-9.08,4.51,0.292
P01256,D0297,0.09,0.513,-0.818,202.07,0.335,4.78,7.25,0.887,0,1.55,14.2,0.849,-3.92,3.96,0.076
P07062,D0036,0.124,0.793,0.922,789.12,0.822,1.52,6.15,0.282,0,1.61,44.2,0.282,-1.17,1.4,0.277
P00264,D0380,0.989,0.417,0.841,393.14,0.762,-0.77,5.54,0.861,1,-0.59,3.7,0.846,-2.96,0.84,0.961
P00053,D0318,0.745,0.548,0.688,569.77,0.606,-0.18,5.16,0.151,0,-0.88,30.1,0.322,-3.86,4.26,0.331
P07995,D0585,0.409,0.521,0.358,717.69,0.39,-2.37,5.15,0.771,0,-1.84,58.3,0.107,-2.47,0.78,0.302
P02379,D0068,0.987,0.585,-0.067,554.07,0.416,0.04,4.51,0.388,0,-1.05,66.9,0.877,-6.17,2.53,0.222
P05458,D0268,0.56,0.342,0.356,478.03,0.432,3.52,8.7,0.66,0,-0.58,19.0,0.105,-3.27,0.63,0.422
P04497,D0360,0.807,0.386,0.115,516.85,0.924,4.34,5.6,0.549,1,1.73,56.1,0.63,-9.34,4.17,0.288
P00674,D0853,0.076,0.366,0.704,776.58,0.522,2.48,8.85,0.359,0,-1.56,18.8,0.51,-6.89,1.56,0.266
P03252,D0871,0.939,0.637,0.487,548.09,0.511,5.87,5.75,0.494,1,-1.72,19.0,0.77,-8.21,2.9,0.807
P00847,D0556,0.953,0.821,0.362,287.97,0.366,-1.31,8.96,0.697,0,-1.11,28.8,0.693,-1.4,4.82,0.324
P04928,D0187,0.864,0.359,-0.614,289.35,0.639,2.3,6.46,0.825,0,1.22,11.2,0.662,-8.74,0.84,0.207
P02390,D0758,0.161,0.534,0.318,526.07,0.554,-1.79,4.26,0.908,0,0.15,16.4,0.414,-2.23,2.82,0.686
P09592,D0827,0.003,0.537,-0.027,301.31,0.654,-0.43,5.79,0.376,0,0.38,31.1,0.657,-5.87,0.73,0.091
P05699,D0949,0.898,0.319,0.556,743.34,0.941,6.22,8.2,0.105,1,-0.24,52.7,0.382,-5.17,2.26,0.234
P04159,D0979,0.307,0.629,-0.091,805.32,0.805,6.54,4.92,0.583,0,0.93,46.0,0.455,-2.51,3.28,0.679
P09083,D0845,0.363,0.525,-0.004,270.97,0.063,-1.56,6.54,0.185,0,0.47,13.9,0.148,-0.96,2.11,0.224
P02076,D0960,0.47,0.316,-0.17,479.22,0.983,1.29,8.27,0.84,0,-0.78,9.7,0.168,-5.87,2.21,0.023
P07038,D0883,0.318,0.465,0.968,712.61,0.244,4.54,8.4,0.823,0,1.19,14.5,0.97,-8.4,3.04,0.783
P00847,D0253,0.595,0.644,0.187,212.75,0.643,3.75,5.49,0.341,0,-0.91,21.0,0.836,-3.29,4.19,0.358
P05134,D0884,0.403,0.61,0.823,595.71,0.621,3.93,4.02,0.03,0,1.86,30.0,0.818,0.4,1.11,0.468
P09590,D0737,0.732,0.579,0.744,562.6,0.045,3.1,6.44,0.582,0,1.48,63.2,0.06,-7.89,4.68,0.557
P09982,D0302,0.032,0.583,0.506,732.84,0.987,-1.14,7.95,0.918,0,0.12,2.2,0.347,-4.72,4.84,0.578
P07964,D0069,0.205,0.273,0.009,864.56,0.431,4.91,5.1,0.068,0,1.77,46.5,0.151,-9.41,3.85,0.019
P09292,D0047,0.915,0.592,0.077,515.1,0.811,3.4,4.78,0.656,1,-1.64,8.7,0.446,-7.48,4.29,0.822
P09090,D0435,0.045,0.792,0.869,361.42,0.383,2.33,5.99,0.975,0,-1.3,54.5,0.719,-3.64,3.71,0.245
P04621,D0713,0.477,0.311,-0.539,185.74,0.374,-2.22,5.46,0.774,0,1.19,67.1,0.445,-2.8,3.64,0.663
P07526,D0318,0.181,0.58,0.568,765.68,0.666,-1.29,5.23,0.614,0,0.08,3.2,0.866,-7.71,3.92,0.652
P00565,D0520,0.779,0.606,-0.405,283.04,0.341,4.67,8.24,0.826,0,0.79,63.8,0.573,-0.2,0.51,0.656
P08636,D0835,0.52,0.527,-0.883,790.25,0.43,0.77,4.71,0.174,0,-0.28,46.5,0.382,-1.85,4.22,0.928
P04281,D0804,0.719,0.667,-0.21,612.18,0.475,2.58,4.36,0.867,0,-0.38,38.8,0.288,-2.97,1.22,0.457
P03842,D0364,0.829,0.7,0.045,277.58,0.431,5.72,4.7,0.958,0,1.32,40.8,0.519,-8.27,2.62,0.515
P03339,D0784,0.751,0.843,-0.736,509.22,0.309,-1.42,6.47,0.894,0,1.11,66.2,0.844,-5.22,4.64,0.118
P05595,D0773,0.409,0.595,0.494,626.59,0.794,-1.22,8.67,0.1,0,-0.97,13.9,0.882,-0.99,2.15,0.346
P00218,D0664,0.455,0.39,0.485,606.38,0.802,1.06,4.73,0.118,0,-0.44,3.9,0.058,-2.81,3.03,0.018
P02325,D0840,0.655,0.57,0.461,164.4,0.777,3.75,8.54,0.94,0,0.76,63.0,0.341,-9.97,3.31,0.326
P09374,D0605,0.748,0.392,-0.358,591.4,0.02,-1.34,8.43,0.594,0,-0.11,42.6,0.552,-7.35,4.91,0.502
P07363,D0945,0.372,0.572,-0.004,832.65,0.518,2.31,6.17,0.271,0,-1.07,12.0,0.763,-1.9,2.02,0.062
P03091,D0362,0.778,0.351,-0.652,623.54,0.808,3.93,8.71,0.783,0,-0.06,50.8,0.203,-5.69,1.12,0.675
P09002,D0704,0.005,0.309,-0.124,576.33,0.007,0.05,6.09,0.139,0,-0.64,65.4,0.592,-5.09,1.95,0.445
P02759,D0227,0.912,0.531,0.911,717.19,0.238,0.52,5.09,0.258,0,-0.78,1.9,0.383,-5.27,2.42,0.065
P07183,D0211,0.596,0.227,-0.395,542.57,0.529,5.76,8.07,0.716,0,-1.87,47.2,0.314,-1.94,4.87,0.435
P00448,D0162,0.566,0.695,-0.902,706.92,0.379,-1.19,6.66,0.034,0,0.68,27.1,0.631,-5.9,4.56,0.146
P02664,D0082,0.561,0.534,-0.375,280.31,0.788,4.7,6.67,0.337,0,0.93,6.2,0.098,-1.98,3.07,0.842
P01068,D0306,0.04,0.663,0.67,840.14,0.555,-1.19,6.97,0.128,0,-0.97,25.4,0.176,0.02,0.64,0.517
P01786,D0103,0.949,0.638,0.814,476.23,0.698,1.32,4.1,0.305,1,1.91,67.3,0.295,-8.47,2.73,0.575
P07897,D0790,0.764,0.621,-0.981,436.95,0.03,4.29,4.46,0.894,0,1.93,23.9,0.35,0.76,4.71,0.355
P08257,D0651,0.716,0.546,-0.039,708.7,0.137,0.75,4.1,0.499,0,1.76,44.1,0.337,-6.29,2.02,0.369
P02807,D0840,0.701,0.492,0.896,590.07,0.508,-2.22,6.43,0.084,0,-1.48,22.6,0.903,0.41,0.21,0.231
P07925,D0513,0.544,0.573,-0.749,331.66,0.824,0.54,6.01,0.18,0,1.54,25.5,0.548,-4.71,3.47,0.777
P03427,D0769,0.623,0.369,-0.875,353.29,0.069,-0.71,8.82,0.772,0,-0.68,35.9,0.669,-3.08,3.26,0.013
P00474,D0784,0.924,0.478,0.516,627.99,0.019,-1.49,7.58,0.113,0,-1.38,66.7,0.975,-1.32,1.48,0.552
P04327,D0512,0.361,0.459,0.28,443.02,0.648,3.06,7.7,0.49,0,0.33,26.8,0.767,-7.75,4.63,0.175
P06419,D0940,0.598,0.558,0.442,458.79,0.456,-2.63,5.42,0.423,0,-1.56,31.6,0.363,-6.14,1.15,0.846
P05107,D0331,0.39,0.538,-0.456,656.27,0.296,5.47,7.21,0.26,0,-0.48,63.9,0.399,-6.46,4.86,0.676
P03739,D0653,0.119,0.483,-0.193,613.4,0.147,4.54,4.65,0.931,0,-1.05,33.9,0.391,-0.83,3.73,0.128
P05706,D0171,0.145,0.733,0.147,276.5,0.294,4.55,6.39,0.166,0,0.13,57.3,0.366,-9.69,4.59,0.425
P04707,D0245,0.065,0.701,0.522,810.98,0.264,4.4,7.59,0.547,0,0.32,3.0,0.488,-6.81,2.66,0.482
P08313,D0243,0.39,0.773,-0.363,396.24,0.053,-0.29,8.12,0.472,0,0.58,10.3,0.094,-5.35,2.95,0.981
P05034,D0812,0.349,0.303,-0.189,652.52,0.601,-1.74,7.98,0.05,0,-0.2,49.0,0.232,-9.81,2.46,0.615
P08752,D0046,0.124,0.583,0.073,842.56,0.855,6.93,4.66,0.829,0,-0.49,56.2,0.45,-6.24,3.25,0.748
P04232,D0830,0.449,0.446,-0.987,479.88,0.727,6.95,5.88,0.401,0,0.02,55.9,0.694,-5.8,3.85,0.726
P05178,D0971,0.213,0.344,0.694,518.68,0.617,6.5,5.69,0.814,0,-0.41,39.8,0.208,-8.55,0.52,0.439
P02763,D0459,0.101,0.623,0.248,656.3,0.3,3.78,6.69,0.031,0,1.84,17.2,0.235,0.01,0.88,0.614
P00295,D0126,0.322,0.795,-0.835,396.51,0.527,1.64,5.67,0.415,0,1.74,18.3,0.384,-0.61,2.21,0.211
P01980,D0008,0.674,0.333,-0.293,415.02,0.274,-1.03,6.35,0.686,0,0.22,15.1,0.551,-4.04,2.48,0.735
P08159,D0274,0.037,0.474,-0.642,593.54,0.151,2.48,5.55,0.809,0,-0.31,32.7,0.775,0.83,4.19,0.357
P01224,D0741,0.686,0.277,-0.921,385.57,0.094,-0.01,5.33,0.268,0,-0.17,40.1,0.619,-0.79,4.53,0.316
P05365,D0209,0.143,0.549,-0.378,384.83,0.084,-1.05,4.82,0.003,0,1.96,1.6,0.061,-9.4,2.47,0.839
P00468,D0642,0.909,0.402,0.746,750.98,0.464,4.69,5.81,0.474,0,-0.77,24.3,0.1,-8.38,1.39,0.285
P08039,D0232,0.098,0.569,-0.865,175.27,0.721,-1.9,5.26,0.039,0,-0.17,61.6,0.278,-7.65,3.22,0.047
P09740,D0556,0.191,0.713,0.755,169.31,0.469,4.79,5.51,0.938,0,0.29,29.5,0.407,-8.31,3.36,0.809
P04731,D0929,0.228,0.63,-0.564,371.01,0.592,-0.7,5.7,0.204,0,-1.66,38.1,0.545,-3.32,1.06,0.071
P01997,D0875,0.663,0.665,0.911,667.41,0.566,-2.99,4.48,0.677,0,-0.41,33.6,0.487,-2.28,1.86,0.196
P01375,D0833,0.811,0.494,-0.561,379.24,0.306,-1.36,4.72,0.517,0,-0.98,11.3,0.132,-0.09,3.49,0.088
P06256,D0801,0.53,0.622,0.712,621.91,0.921,5.5,5.01,0.597,0,0.26,8.2,0.279,-1.1,4.5,0.029
P01310,D0487,0.744,0.17,0.835,364.7,0.736,2.2,6.84,0.95,0,-0.89,17.2,0.881,-8.26,2.39,0.786
P00489,D0934,0.887,0.599,0.844,172.99,0.722,4.67,6.12,0.817,0,-0.14,47.8,0.6,-9.63,0.4,0.717
P05743,D0879,0.611,0.662,-0.752,695.51,0.507,0.01,4.09,0.604,0,0.06,63.0,0.864,-5.09,1.83,0.651
P09420,D0275,0.31,0.425,0.342,557.47,0.19,6.21,8.84,0.609,0,-0.8,19.6,0.403,0.71,4.61,0.755
P03888,D0668,0.153,0.469,0.647,633.18,0.43,5.99,5.86,0.318,0,1.01,24.6,0.598,-4.97,4.48,0.543
P07696,D0274,0.589,0.569,0.472,282.96,0.224,0.21,6.28,0.015,0,-1.59,26.1,0.044,-4.69,1.97,0.454
P04068,D0741,0.836,0.225,-0.053,613.09,0.189,5.51,5.13,0.213,0,-1.35,53.8,0.447,-2.59,0.84,0.109
P08379,D0415,0.19,0.35,0.883,756.82,0.101,-0.55,5.94,0.327,0,-1.89,29.0,0.882,-9.72,3.31,0.949
P06069,D0363,0.999,0.154,-0.64,255.29,0.268,6.77,6.04,0.327,0,-1.59,37.9,0.195,-1.32,1.71,0.147
P07787,D0661,0.127,0.571,0.755,362.26,0.674,2.16,5.98,0.424,0,-0.85,49.4,0.187,-1.12,1.65,0.307
P09385,D0238,0.039,0.681,-0.518,743.81,0.774,2.52,4.35,0.23,0,-1.55,65.4,0.826,-6.15,3.26,0.998
P04086,D0016,0.686,0.448,-0.099,632.83,0.935,-2.81,8.35,0.769,0,-0.25,7.8,0.481,-5.8,3.65,0.356
P08486,D0135,0.365,0.568,-0.075,291.17,0.495,4.5,4.13,0.189,0,-0.97,67.6,0.094,-8.27,2.14,0.344
P06459,D0764,0.67,0.565,-0.421,353.9,0.656,-0.55,7.31,0.802,0,0.11,36.9,0.76,-9.42,2.33,0.514
P08377,D0072,0.181,0.591,-0.432,828.93,0.945,-1.29,4.93,0.562,0,0.61,8.3,0.467,0.52,4.38,0.953
P02203,D0358,0.187,0.71,-0.253,433.38,0.672,0.75,8.8,0.46,0,1.83,38.1,0.787,-8.53,1.9,0.502
P03514,D0815,0.502,0.585,-0.974,219.66,0.711,0.29,5.39,0.336,0,1.82,33.6,0.35,0.34,1.61,0.637
P09252,D0679,0.945,0.275,-0.516,647.5,0.781,-1.59,5.62,0.123,1,0.86,13.9,0.913,-3.05,3.53,0.144
P08459,D0944,0.375,0.604,0.902,451.19,0.244,4.93,6.71,0.805,0,0.65,22.9,0.759,0.86,2.89,0.312
P08752,D0508,0.073,0.77,0.438,698.56,0.773,4.21,6.89,0.497,0,-0.08,25.0,0.476,-5.03,0.7,0.177
P00331,D0075,0.737,0.311,-0.111,234.54,0.892,-0.12,6.73,0.209,1,0.72,32.1,0.972,-1.04,4.76,0.479
P07286,D0506,0.922,0.391,-0.998,380.55,0.066,1.97,4.82,0.97,0,1.43,59.3,0.461,-7.2,3.6,0.619
P05680,D0819,0.363,0.314,0.416,444.54,0.908,-0.11,6.01,0.174,0,1.77,31.1,0.856,-9.25,4.56,0.31
P01080,D0088,0.457,0.396,-0.014,581.0,0.302,-2.07,5.16,0.366,0,1.13,60.7,0.283,-2.41,1.57,0.136
P07149,D0082,0.951,0.929,0.313,288.76,0.86,1.0,4.39,0.305,1,1.21,30.4,0.823,-0.17,3.03,0.228
P06829,D0095,0.748,0.464,-0.211,391.4,0.05,0.69,5.23,0.176,0,-1.1,19.1,0.61,-9.29,1.31,0.975
P09719,D0726,0.669,0.28,-0.998,724.39,0.924,5.89,7.1,0.592,0,1.5,28.9,0.628,-4.3,2.78,0.212
P03090,D0233,0.128,0.279,0.167,291.56,0.318,3.56,5.93,0.016,0,1.03,3.6,0.34,-2.63,4.38,0.151
